,url,expanded_url,display_url,indices
12,https://t.co/U7ZHMNGXRr,http://bit.ly/3d9Ex1s,bit.ly/3d9Ex1s,"[105, 128]"
26,https://t.co/jNAFzXSivs,http://bit.ly/2KMXjj8,bit.ly/2KMXjj8,"[77, 100]"
28,https://t.co/SZe1UhxDpL,http://bit.ly/3d7fqMK,bit.ly/3d7fqMK,"[77, 100]"
36,https://t.co/Vf6wfKBN9c,http://bit.ly/2YpOtjo,bit.ly/2YpOtjo,"[91, 114]"
42,https://t.co/mSf3qUKyfI,http://bit.ly/3aQEZ3b,bit.ly/3aQEZ3b,"[87, 110]"
62,https://t.co/JWF1sIU9va,https://bit.ly/2zFe1i1,bit.ly/2zFe1i1,"[69, 92]"
64,https://t.co/iD9fSLHUwq,https://www.youtube.com/watch?v=ckuF_DvzacE,youtube.com/watch?v=ckuF_D…,"[91, 114]"
67,https://t.co/0P8tutDlhj,http://bit.ly/35jeTVg,bit.ly/35jeTVg,"[95, 118]"
76,https://t.co/Wbudd9tkEj,http://bit.ly/2YhvxTN,bit.ly/2YhvxTN,"[79, 102]"
89,https://t.co/bQKyOxIz9t,https://bit.ly/2KIGWE6,bit.ly/2KIGWE6,"[92, 115]"
94,https://t.co/8we2ziKrui,https://bit.ly/3aMxCdb,bit.ly/3aMxCdb,"[83, 106]"
97,https://t.co/IHBgfcfWkC,http://bit.ly/3cWyMEd,bit.ly/3cWyMEd,"[73, 96]"
101,https://t.co/iY4qkfnran,http://bit.ly/3eW41Bn,bit.ly/3eW41Bn,"[88, 111]"
104,https://t.co/c6dIPBDNv8,http://webby.ruptly.tv,webby.ruptly.tv,"[216, 239]"
119,https://t.co/4jrSbh2Blx,http://bit.ly/2KDGO98,bit.ly/2KDGO98,"[90, 113]"
122,https://t.co/VGYES0F7mX,http://bit.ly/2Se7DVm,bit.ly/2Se7DVm,"[87, 110]"
124,https://t.co/VGYES0F7mX,http://bit.ly/2Se7DVm,bit.ly/2Se7DVm,"[101, 124]"
127,https://t.co/WbVT2FGio2,http://bit.ly/3aM66fG,bit.ly/3aM66fG,"[75, 98]"
130,https://t.co/CrHp14r7Ns,http://bit.ly/3aOo4ye,bit.ly/3aOo4ye,"[83, 106]"
131,https://t.co/irby2BkZvN,http://bit.ly/35eZsNO,bit.ly/35eZsNO,"[70, 93]"
133,https://t.co/xw03U1PLcI,http://bit.ly/3aJiD3M,bit.ly/3aJiD3M,"[76, 99]"
137,https://t.co/WbVT2FXTMC,http://bit.ly/3aM66fG,bit.ly/3aM66fG,"[75, 98]"
138,https://t.co/TVkit8NULT,http://bit.ly/2VH9DHX,bit.ly/2VH9DHX,"[87, 110]"
145,https://t.co/vAM046iPRs,https://bit.ly/2xhYsfy,bit.ly/2xhYsfy,"[67, 90]"
154,https://t.co/ENGKdrOCZv,https://bit.ly/3aLpoSq,bit.ly/3aLpoSq,"[63, 86]"
177,https://t.co/cDQqtUUxzx,https://bit.ly/2Sdtqwv,bit.ly/2Sdtqwv,"[75, 98]"
183,https://t.co/Ku3ls1waXo,https://bit.ly/2y3jvmf,bit.ly/2y3jvmf,"[87, 110]"
184,https://t.co/DIuhZLiwSM,https://bit.ly/2x8JSXw,bit.ly/2x8JSXw,"[83, 106]"
185,https://t.co/kZ6D9EgVgF,https://bit.ly/2W0R7Jt,bit.ly/2W0R7Jt,"[91, 114]"
186,https://t.co/v2NNw2wBnI,http://bit.ly/3cRNufW,bit.ly/3cRNufW,"[62, 85]"
207,https://t.co/N8FAlsU6Mx,https://www.pscp.tv/w/cXMSlDE0ODYxNHwxQlJLalFxZFllanh3vOWnz3IJKO5bSODnW5ZoNiKq4y9s2HmLLuLlXDYJivI=,pscp.tv/w/cXMSlDE0ODYx…,"[85, 108]"
209,https://t.co/ZTpjd2mimd,http://bit.ly/3cNXgQg,bit.ly/3cNXgQg,"[86, 109]"
211,https://t.co/4xhSplJTWp,http://bit.ly/3ePUbRg,bit.ly/3ePUbRg,"[96, 119]"
213,https://t.co/4xhSplJTWp,http://bit.ly/3ePUbRg,bit.ly/3ePUbRg,"[81, 104]"
215,https://t.co/vvlkwTkM9l,https://www.pscp.tv/w/cXLkyzE0ODYxNHwxbkFKRWRaWHpXQUdMdnxXrPOVEHtyVWGjkC6zrwPaCNSKBl-vojcxGI0zP0E=,pscp.tv/w/cXLkyzE0ODYx…,"[78, 101]"
217,https://t.co/xLKfKublnN,http://bit.ly/3bHz0Pu,bit.ly/3bHz0Pu,"[104, 127]"
221,https://t.co/qF8L9arRIi,http://bit.ly/2S9fL9T,bit.ly/2S9fL9T,"[79, 102]"
224,https://t.co/s6phXurXEh,http://bit.ly/2KtKElb,bit.ly/2KtKElb,"[77, 100]"
232,https://t.co/XBuNVMqmOi,http://bit.ly/2znKAAV,bit.ly/2znKAAV,"[74, 97]"
235,https://t.co/35TsI5uGag,https://bit.ly/2S1Djx5,bit.ly/2S1Djx5,"[61, 84]"
244,https://t.co/mFLhkaVtDg,https://bit.ly/2KupTpx,bit.ly/2KupTpx,"[92, 115]"
245,https://t.co/aTay8MoKTA,https://bit.ly/2VzBD0k,bit.ly/2VzBD0k,"[80, 103]"
246,https://t.co/dvsBMquPOx,https://shortyw.in/2Y0YiUB,shortyw.in/2Y0YiUB,"[187, 210]"
256,https://t.co/GFSl4aCN7g,https://bit.ly/2VVwGxs,bit.ly/2VVwGxs,"[83, 106]"
262,https://t.co/tO1YndvTsM,http://bit.ly/2KscqhZ,bit.ly/2KscqhZ,"[66, 89]"
264,https://t.co/3ujImepEfP,http://bit.ly/34YkPmA,bit.ly/34YkPmA,"[76, 99]"
270,https://t.co/0f0iRHTAQy,http://bit.ly/2xVAQgS,bit.ly/2xVAQgS,"[88, 111]"
274,https://t.co/urtMaY8B5Z,http://bit.ly/2yHviGP,bit.ly/2yHviGP,"[67, 90]"
275,https://t.co/BN6oavgodS,http://bit.ly/3cHzBka,bit.ly/3cHzBka,"[57, 80]"
283,https://t.co/1IQZC8Ba2S,http://bit.ly/2x0YFDL,bit.ly/2x0YFDL,"[118, 141]"
293,https://t.co/5aT4FWWZ6k,https://bit.ly/34UDm3h,bit.ly/34UDm3h,"[84, 107]"
311,https://t.co/UOshTgYnTB,https://bit.ly/2VvkXqK,bit.ly/2VvkXqK,"[72, 95]"
312,https://t.co/DRWJusLwpU,https://bit.ly/3aqWcQI,bit.ly/3aqWcQI,"[77, 100]"
316,https://t.co/jY5frwpEkS,http://bit.ly/3cHJX3L,bit.ly/3cHJX3L,"[65, 88]"
318,https://t.co/m2bRib4S0N,http://bit.ly/3cFOdAu,bit.ly/3cFOdAu,"[108, 131]"
329,https://t.co/N6veAFsdl3,https://bit.ly/2RUH3As,bit.ly/2RUH3As,"[79, 102]"
346,https://t.co/WZhaUzbr1h,http://bit.ly/2VPnHy3,bit.ly/2VPnHy3,"[94, 117]"
347,https://t.co/4y2TJhO9p5,https://bit.ly/2Y07yIV,bit.ly/2Y07yIV,"[60, 83]"
354,https://t.co/iLbFNuNWW1,http://bit.ly/2wV6R8q,bit.ly/2wV6R8q,"[91, 114]"
357,https://t.co/U30KtrFyLz,http://bit.ly/3aljasd,bit.ly/3aljasd,"[51, 74]"
361,https://t.co/0ky78fXaMM,http://bit.ly/2wTSPUv,bit.ly/2wTSPUv,"[48, 71]"
362,https://t.co/HzwoiHcTgf,http://bit.ly/34SxeIE,bit.ly/34SxeIE,"[67, 90]"
371,https://t.co/4NxDzmVVlx,https://bit.ly/2RVi1Bl,bit.ly/2RVi1Bl,"[99, 122]"
373,https://t.co/y27agbsrmf,https://bit.ly/3eC4N6m,bit.ly/3eC4N6m,"[88, 111]"
377,https://t.co/RuKgYnSXrw,https://bit.ly/2XSd1RY,bit.ly/2XSd1RY,"[109, 132]"
385,https://t.co/rcCGlvjuyC,https://bit.ly/3amRBiu,bit.ly/3amRBiu,"[78, 101]"
386,https://t.co/zC1mwu7T4t,http://bit.ly/2xMgjLH,bit.ly/2xMgjLH,"[82, 105]"
389,https://t.co/NelmaE2NIU,http://bit.ly/3512uWd,bit.ly/3512uWd,"[71, 94]"
393,https://t.co/bABMtRjyHR,http://bit.ly/3amhQp5,bit.ly/3amhQp5,"[76, 99]"
394,https://t.co/NPGkYvfDok,http://bit.ly/3atRX73,bit.ly/3atRX73,"[75, 98]"
396,https://t.co/ES9eBLNwr6,http://bit.ly/2VBmKJm,bit.ly/2VBmKJm,"[84, 107]"
410,https://t.co/uJXX2zLXSX,https://bit.ly/2zeG73D,bit.ly/2zeG73D,"[83, 106]"
412,https://t.co/uJXX2zLXSX,https://bit.ly/2zeG73D,bit.ly/2zeG73D,"[83, 106]"
438,https://t.co/J47ir0pqcj,https://bit.ly/2KaoXX9,bit.ly/2KaoXX9,"[92, 115]"
442,https://t.co/zFyarOK6mk,http://bit.ly/3biwPlk,bit.ly/3biwPlk,"[94, 117]"
450,https://t.co/BXPe7Jj47d,http://bit.ly/3aiMqjg,bit.ly/3aiMqjg,"[67, 90]"
454,https://t.co/ewa93hakXf,http://bit.ly/2RMGSXZ,bit.ly/2RMGSXZ,"[76, 99]"
458,https://t.co/bLC8hrtFLn,https://www.youtube.com/watch?v=92440H61hN0,youtube.com/watch?v=92440H…,"[103, 126]"
460,https://t.co/42a1hAypdY,https://www.pscp.tv/w/cWfjXDE0ODYxNHwxT3d4V1FXTkF5bUdRQLOcRAKB55_tJilBX6C2umO48KB1SoBqVKbE5s5ndrU=,pscp.tv/w/cWfjXDE0ODYx…,"[46, 69]"
462,https://t.co/Wx0QcM1AzY,https://bit.ly/2RI2Knk,bit.ly/2RI2Knk,"[60, 83]"
469,https://t.co/3m8KinoEJn,https://bit.ly/3bgvMSF,bit.ly/3bgvMSF,"[83, 106]"
470,https://t.co/FQgsiPNvPt,https://bit.ly/2XFu0GP,bit.ly/2XFu0GP,"[75, 98]"
482,https://t.co/TOTIJ4v01A,http://bit.ly/3cp1m0V,bit.ly/3cp1m0V,"[63, 86]"
484,https://t.co/TmNi5sx7IE,http://bit.ly/2Ke2HeI,bit.ly/2Ke2HeI,"[64, 87]"
487,https://t.co/oX9YGo3V9K,http://bit.ly/34Id8Rp,bit.ly/34Id8Rp,"[97, 120]"
488,https://t.co/fMbs8g3vA2,http://bit.ly/2yYMszU,bit.ly/2yYMszU,"[97, 120]"
491,https://t.co/g7NH7MBdpZ,http://bit.ly/2K8mDj8,bit.ly/2K8mDj8,"[63, 86]"
508,https://t.co/c57hxBi8Ox,https://bit.ly/2xANHFh,bit.ly/2xANHFh,"[89, 112]"
509,https://t.co/c57hxBi8Ox,https://bit.ly/2xANHFh,bit.ly/2xANHFh,"[88, 111]"
510,https://t.co/YWPG7c4TpH,https://bit.ly/3ep5Sy6,bit.ly/3ep5Sy6,"[74, 97]"
517,https://t.co/osUmkVwO3g,http://bit.ly/2ydYSUi,bit.ly/2ydYSUi,"[106, 129]"
518,https://t.co/oqjttSgyMG,http://bit.ly/2yhobVs,bit.ly/2yhobVs,"[85, 108]"
521,https://t.co/RgM2h368PM,https://bit.ly/2Vc497G,bit.ly/2Vc497G,"[101, 124]"
524,https://t.co/Awn9D0g2lp,https://www.pscp.tv/w/cWXJMTE0ODYxNHwxZ3F4dkVYUk5xd0pCFZw7vukFQSWUZyKqQ5NySD4HMY1go_idcSOAKLWpPDw=,pscp.tv/w/cWXJMTE0ODYx…,"[57, 80]"
526,https://t.co/RgM2h3nJHk,https://bit.ly/2Vc497G,bit.ly/2Vc497G,"[97, 120]"
527,https://t.co/8mMGGsSDgL,https://www.pscp.tv/Ruptly/1RDGlQWoWplJL?t=3m38s,pscp.tv/Ruptly/1RDGlQW…,"[66, 89]"
529,https://t.co/q2OcAKSvCw,http://bit.ly/2wFdQlJ,bit.ly/2wFdQlJ,"[79, 102]"
533,https://t.co/MfOwZKEVlB,https://bit.ly/3eqVDt6,bit.ly/3eqVDt6,"[55, 78]"
535,https://t.co/MfOwZKWwKb,https://bit.ly/3eqVDt6,bit.ly/3eqVDt6,"[51, 74]"
543,https://t.co/dChIXeQlde,https://bit.ly/2Vb5QlY,bit.ly/2Vb5QlY,"[77, 100]"
546,https://t.co/q2yv9j68yx,https://bit.ly/3elflqh,bit.ly/3elflqh,"[73, 96]"
556,https://t.co/j8xlBWiyNu,https://www.youtube.com/watch?v=b7Pe5B_gRAY&feature=youtu.be,youtube.com/watch?v=b7Pe5B…,"[96, 119]"
575,https://t.co/q3pJKYgtYY,http://bit.ly/3a6Pj6P,bit.ly/3a6Pj6P,"[108, 131]"
580,https://t.co/5MI6QmMBWo,https://bit.ly/2XB83bY,bit.ly/2XB83bY,"[88, 111]"
581,https://t.co/gH5HHNxBk9,https://bit.ly/2RCN2tF,bit.ly/2RCN2tF,"[57, 80]"
582,https://t.co/dlFKAMMO8M,http://bit.ly/3enNFBk,bit.ly/3enNFBk,"[67, 90]"
590,https://t.co/rfqDU8Sm4o,https://bit.ly/3a2UzIB,bit.ly/3a2UzIB,"[100, 123]"
591,https://t.co/rfqDU8Sm4o,https://bit.ly/3a2UzIB,bit.ly/3a2UzIB,"[105, 128]"
595,https://t.co/rZjy8pNQ2N,http://bit.ly/3ekodMY,bit.ly/3ekodMY,"[69, 92]"
603,https://t.co/mwOQ6hZslr,http://bit.ly/2wDMUD2,bit.ly/2wDMUD2,"[52, 75]"
605,https://t.co/5Blw8xRUsZ,http://bit.ly/2xnYLFu,bit.ly/2xnYLFu,"[96, 119]"
608,https://t.co/p2sGqUAKP2,http://bit.ly/34ymwHl,bit.ly/34ymwHl,"[74, 97]"
620,https://t.co/Kz5R03nTTi,http://bit.ly/2Vk1Y0Q,bit.ly/2Vk1Y0Q,"[70, 93]"
630,https://t.co/Ao6ZrOiWeZ,http://bit.ly/2V3eZgc,bit.ly/2V3eZgc,"[103, 126]"
638,https://t.co/tKTOLCPi6W,http://bit.ly/34tqW1X,bit.ly/34tqW1X,"[92, 115]"
642,https://t.co/tKTOLCPi6W,http://bit.ly/34tqW1X,bit.ly/34tqW1X,"[91, 114]"
646,https://t.co/Ztlbb1EvrI,http://bit.ly/3c7aebi,bit.ly/3c7aebi,"[69, 92]"
653,https://t.co/P8e62xLwT2,https://bit.ly/2wyjiqE,bit.ly/2wyjiqE,"[98, 121]"
654,https://t.co/CNoSxbK93m,https://bit.ly/2XrR9wy,bit.ly/2XrR9wy,"[92, 115]"
656,https://t.co/AOOHsSIgni,https://bit.ly/2JTJyPd,bit.ly/2JTJyPd,"[91, 114]"
657,https://t.co/CNoSxbK93m,https://bit.ly/2XrR9wy,bit.ly/2XrR9wy,"[97, 120]"
