,url,expanded_url,display_url,indices
0,https://t.co/CPCTe4xCbd,https://sptnkne.ws/CpBz,sptnkne.ws/CpBz,"[112, 135]"
1,https://t.co/oin3K2gk86,https://sptnkne.ws/CpAU,sptnkne.ws/CpAU,"[58, 81]"
2,https://t.co/kKSz6S9ofV,https://sptnkne.ws/CpAV,sptnkne.ws/CpAV,"[90, 113]"
3,https://t.co/LuJwSuff35,http://sptnkne.ws/CpA2,sptnkne.ws/CpA2,"[109, 132]"
4,https://t.co/CemmMGniMs,https://sptnkne.ws/CpAZ,sptnkne.ws/CpAZ,"[72, 95]"
5,https://t.co/t0G2gPtr3t,https://sptnkne.ws/CpA2,sptnkne.ws/CpA2,"[84, 107]"
6,https://t.co/t0G2gPtr3t,https://sptnkne.ws/CpA2,sptnkne.ws/CpA2,"[51, 74]"
7,https://t.co/eg5MwKaX5O,https://sptnkne.ws/CpA3,sptnkne.ws/CpA3,"[70, 93]"
8,https://t.co/YlSUSQvMYs,https://sptnkne.ws/CpAx,sptnkne.ws/CpAx,"[83, 106]"
9,https://t.co/y146a5I484,https://sptnkne.ws/CpAw,sptnkne.ws/CpAw,"[93, 116]"
10,https://t.co/mGyG5VabMI,https://sptnkne.ws/CpAv,sptnkne.ws/CpAv,"[89, 112]"
11,https://t.co/bk9YDZV3ub,http://sptnkne.ws/Cp23,sptnkne.ws/Cp23,"[101, 124]"
12,https://t.co/m2AtSDm3v0,http://sptnkne.ws/Cp2g,sptnkne.ws/Cp2g,"[105, 128]"
13,https://t.co/vaprF3oCWl,http://sptnkne.ws/CpeJ,sptnkne.ws/CpeJ,"[109, 132]"
14,https://t.co/KZB224mE0J,https://sptnkne.ws/CpAk,sptnkne.ws/CpAk,"[62, 85]"
15,https://t.co/IGTU44ANmX,http://sptnkne.ws/Cp8d,sptnkne.ws/Cp8d,"[54, 77]"
16,https://t.co/XRwZ3GgKvX,http://sptnkne.ws/Cpf3,sptnkne.ws/Cpf3,"[108, 131]"
